"date","departure_airport_name","off_block","arrival_airport_name","on_block","type_of_aircraft","registration","name_of_pilot_in_command","total","day","night","single_engine_vfr","single_engine_ifr","multi_engine_vfr","multi_engine_ifr","pilot_in_command_time","co_pilot","multi_pilot","flight_instructor","dual","synthetic_training","instructor_synthetic_training","landings_day","landings_night","remarks_and_endorsements","include_in_ftl","if_time","float_time"
"02.01.2025","LPVL","10:00","LPVL","11:00","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","1","","","true","",""
"04.01.2025","LPVL","12:00","LPVL","13:00","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","1","","","true","",""
"06.01.2025","LPVL","16:00","LPVL","17:00","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","1","","","true","",""
"12.01.2025","LPVL","15:50","LPVL","16:50","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","2","","","true","",""
"17.01.2025","LPVL","16:30","LPVL","17:30","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","1","","","true","",""
"18.01.2025","LPVL","10:00","LPVL","11:00","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","2","","","true","",""
"30.01.2025","LPVL","15:00","LPVL","16:00","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","2","","","true","",""
"01.02.2025","LPVL","09:25","LPVL","10:25","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","6","","","true","",""
"02.02.2025","LPVL","15:05","LPVL","16:05","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","7","","","true","",""
"16.02.2025","LPVL","15:05","LPVL","16:05","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","6","","","true","",""
"19.02.2025","LPVL","15:00","LPVL","16:00","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","8","","","true","",""
"22.02.2025","LPVL","16:00","LPVL","17:00","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","8","","","true","",""
"02.03.2025","LPVL","14:30","LPVL","15:30","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","11","","","true","",""
"04.03.2025","LPVL","17:00","LPVL","18:00","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","8","","","true","",""
"06.03.2025","LPVL","17:00","LPVL","18:00","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","7","","","true","",""
"11.03.2025","LPVL","08:15","LPVL","08:45","C152","","","0:30","0:30","","0:30","","","","","","","","0:30","","","3","","","true","",""
"11.03.2025","LPVL","08:45","LPVL","09:15","C152","","","0:30","0:30","","0:30","","","","0:30","","","","","","","3","","","true","",""
"15.03.2025","LPVL","12:30","LPVL","13:30","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","6","","","true","",""
"15.03.2025","LPVL","13:30","LPVL","14:00","C152","","","0:30","0:30","","0:30","","","","0:30","","","","","","","3","","","true","",""
"17.03.2025","LPVL","12:00","LPVL","13:00","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","3","","","true","",""
"24.03.2025","LPVL","15:00","LPVL","16:00","C152","","","1:00","1:00","","1:00","","","","1:00","","","","","","","1","","","true","",""
"27.03.2025","LPVL","15:00","LPVL","16:00","C152","","","1:00","1:00","","1:00","","","","","","","","1:00","","","3","","","true","",""
"29.03.2025","LPVL","14:00","LPVL","15:30","C152","","","1:30","1:30","","1:30","","","","1:30","","","","","","","7","","","true","",""
"31.03.2025","LPVL","17:00","LPVL","18:30","C152","","","1:30","1:30","","1:30","","","","1:30","","","","","","","7","","","true","",""
"01.04.2025","LPVL","11:30","LPVL","13:00","C152","","","1:30","1:30","","1:30","","","","1:30","","","","","","","6","","","true","",""
"03.04.2025","LPVL","14:00","LPVL","15:30","C152","","","1:30","1:30","","1:30","","","","1:30","","","","","","","6","","","true","",""
"07.04.2025","LPVL","17:00","LPVL","18:30","C152","","","1:30","1:30","","1:30","","","","1:30","","","","","","","6","","","true","",""
"09.04.2025","LPVL","13:30","LPVL","14:30","C152","","","1:00","1:00","","1:00","","","","1:00","","","","","","","2","","","true","",""
"22.04.2025","LPVL","17:00","LPVL","18:45","C152","","","1:45","1:45","","1:45","","","","","","","","1:45","","","3","","","true","",""
"01.05.2025","LPVL","07:30","LPVL","09:15","C152","","","1:45","1:45","","1:45","","","","","","","","1:45","","","1","","","true","",""
"07.05.2025","LPVL","14:30","LPVL","16:15","C152","","","1:45","1:45","","1:45","","","","","","","","1:45","","","6","","","true","",""
"15.05.2025","LPVL","07:35","LPVL","09:00","C152","","","1:25","1:25","","0:10","1:15","","","","","","","1:25","","","1","","","true","",""
"18.05.2025","LPVL","13:05","LPVL","14:50","C152","","","1:45","1:45","","1:45","","","","","","","","1:45","","","5","","","true","",""
"22.05.2025","LPVL","17:10","LPVL","18:40","C152","","","1:30","1:30","","1:30","","","","1:30","","","","","","","1","","","true","",""
"24.05.2025","LPVL","10:00","LPVL","12:00","C152","","","2:00","2:00","","2:00","","","","","","","","2:00","","","4","","","true","",""
"28.05.2025","LPVL","07:30","LPVL","09:30","C152","","","2:00","2:00","","2:00","","","","2:00","","","","","","","5","","","true","",""
"29.05.2025","LPVL","10:45","LPVL","13:30","C152","","","2:45","2:45","","2:45","","","","2:45","","","","","","","5","","","true","",""
"01.06.2025","LPVL","15:00","LPVL","17:40","C152","","","2:40","2:40","","2:40","","","","2:40","","","","","","","3","","","true","",""
"06.06.2025","LPVL","13:00","LPVL","14:50","C152","","","1:50","1:50","","1:50","","","","1:50","","","","","","","4","","","true","",""
"09.06.2025","LPVL","14:00","LPVL","15:55","C152","","","1:55","1:55","","1:55","","","","1:55","","","","","","","5","","","true","",""
"15.06.2025","LPVL","15:45","LPVL","18:45","C152","","","3:00","3:00","","3:00","","","","3:00","","","","","","","5","","","true","",""
"18.06.2025","LPVL","13:35","LPVL","16:35","C152","","","3:00","3:00","","3:00","","","","3:00","","","","","","","3","","","true","",""
"19.06.2025","LPVL","15:00","LPVZ","16:00","C152","","","1:00","1:00","","1:00","","","","1:00","","","","","","","1","","","true","",""
"19.06.2025","LPVZ","16:30","LPVL","18:30","C152","","","2:00","2:00","","2:00","","","","2:00","","","","","","","2","","","true","",""
"22.06.2025","LPVL","14:30","LPBG","15:45","C152","","","1:15","1:15","","1:15","","","","1:15","","","","","","","1","","","true","",""
"22.06.2025","LPBG","16:15","LPVL","18:10","C152","","","1:55","1:55","","1:55","","","","1:55","","","","","","","2","","","true","",""
"23.06.2025","LPVL","08:00","LPBG","09:30","C152","","","1:30","1:30","","1:30","","","","1:30","","","","","","","1","","","true","",""
"23.06.2025","LPBG","10:00","LPVZ","11:30","C152","","","1:30","1:30","","1:30","","","","1:30","","","","","","","2","","","true","",""
"23.06.2025","LPVZ","11:40","LPVL","13:10","C152","","","1:30","1:30","","1:30","","","","1:30","","","","","","","4","","","true","",""
"26.06.2025","LPVL","10:10","LPBG","11:35","C152","","","1:25","1:25","","1:25","","","","1:25","","","","","","","1","","","true","",""
"26.06.2025","LPBG","11:50","LPVZ","13:20","C152","","","1:30","1:30","","1:30","","","","1:30","","","","","","","2","","","true","",""
"26.06.2025","LPVZ","13:40","LPVL","15:30","C152","","","1:50","1:50","","1:50","","","","1:50","","","","","","","9","","","true","",""
"29.06.2025","LPVL","15:45","LPVL","17:20","C152","","","1:35","1:35","","1:35","","","","1:35","","","","","","","6","","","true","",""
"30.06.2025","LPVL","11:30","LPVL","13:05","C152","","","1:35","1:35","","1:35","","","","1:35","","","","","","","3","","","true","",""
"02.07.2025","LPVL","13:10","LPVL","15:10","C152","","","2:00","2:00","","2:00","","","","2:00","","","","","","","4","","","true","",""
"15.07.2025","","09:20","","11:20","AL250-55","","","","","","","","","","","","","","","2:00","","","","","true","",""
"18.07.2025","","14:00","","16:00","AL250-99","","","","","","","","","","","","","","","2:00","","","","","true","",""
"22.07.2025","LPVL","13:30","LPVR","15:45","C172","","","2:15","2:15","","0:10","2:05","","","","","","","2:15","","","1","","","true","",""
"04.08.2025","LPVL","08:30","LPVL","11:30","C172","","","3:00","3:00","","0:10","2:50","","","","","","","3:00","","","3","","","true","",""
"05.08.2025","LPVZ","16:00","LPVL","17:30","C172","","","1:30","1:30","","0:10","1:20","","","","","","","1:30","","","1","","","true","",""
"07.08.2025","","17:00","","19:00","AL250-55","","","","","","","","","","","","","","","2:00","","","","","true","",""
"12.08.2025","LPVL","07:30","LPVZ","09:35","C172","","","2:05","2:05","","0:10","1:55","","","","","","","2:05","","","1","","","true","",""
"13.08.2025","","06:45","","08:45","AL250-99","","","","","","","","","","","","","","","2:00","","","","","true","",""
"16.08.2025","","15:15","","17:30","AL250-55","","","","","","","","","","","","","","","2:15","","","","","true","",""
"20.08.2025","LPVL","07:10","LPVL","09:30","C172","","","2:20","2:20","","0:10","2:10","","","","","","","2:20","","","1","","","true","",""
"21.08.2025","","15:25","","17:40","AL250-55","","","","","","","","","","","","","","","2:15","","","","","true","",""
"23.08.2025","LPVZ","10:20","LPVL","12:20","C172","","","2:00","2:00","","0:10","1:50","","","","","","","2:00","","","1","","","true","",""
"28.08.2025","","15:30","","17:30","AL250-55","","","","","","","","","","","","","","","2:00","","","","","true","",""
"30.08.2025","LPVL","12:40","LPVL","14:35","C172","","","1:55","1:55","","0:10","1:45","","","","","","","1:55","","","1","","","true","",""
"09.09.2025","LPVZ","09:40","LPVL","11:55","C172","","","2:15","2:15","","0:10","2:05","","","","","","","2:15","","","1","","","true","",""
"14.09.2025","LPVL","12:05","LPVL","14:05","C172","","","2:00","2:00","","0:10","1:50","","","","","","","2:00","","","1","","","true","",""
"18.09.2025","LPVL","15:10","LPVL","17:10","C172","","","2:00","2:00","","0:10","1:50","","","2:00","","","","","","","1","","","true","",""
"24.09.2025","","09:30","","11:30","AL250-99","","","","","","","","","","","","","","","2:00","","","","","true","",""
"25.09.2025","","08:00","","10:00","AL250-55","","","","","","","","","","","","","","","2:00","","","","","true","",""
"26.09.2025","","12:30","","14:40","AL250-99","","","","","","","","","","","","","","","2:10","","","","","true","",""
"29.09.2025","LPVR","15:30","LEVX","18:30","C172","","","3:00","3:00","","0:15","2:45","","","","","","","3:00","","","1","","","true","",""
"29.09.2025","LEVX","18:45","LEVX","21:45","C172","","","3:00","","3:00","3:00","","","","","","","","3:00","","","","9","","true","",""
"30.09.2025","LEVX","09:20","LPVL","11:50","C172","","","2:30","2:30","","0:15","2:15","","","","","","","2:30","","","1","","","true","",""
"06.10.2025","LPVL","07:05","LEVX","09:00","C172","","","1:55","1:55","","0:10","1:45","","","","","","","1:55","","","1","","","true","",""
"09.10.2025","","09:15","","11:30","AL250-55","","","","","","","","","","","","","","","2:15","","","","","true","",""
"10.10.2025","LEVX","15:15","LPVL","17:30","C172","","","2:15","2:15","","0:10","2:05","","","","","","","2:15","","","2","","","true","",""
"21.10.2025","","14:45","","16:45","AL250-99","","","","","","","","","","","","","","","2:00","","","","","true","",""
"23.10.2025","LPVL","13:00","LPVL","14:55","C172","","","1:55","1:55","","0:10","1:45","","","","","","","1:55","","","1","","","true","",""
"29.10.2025","LPVL","17:30","LPBG","19:05","C172","","","1:35","1:35","","0:10","1:25","","","","","","","1:35","","","1","","","true","",""
"29.10.2025","LPBG","19:05","LPBG","20:05","C172","","","1:00","","1:00","1:00","","","","","","","","1:00","","","","7","","true","",""
"29.10.2025","LPBG","20:05","LPBG","21:05","C172","","","1:00","","1:00","1:00","","","","1:00","","","","","","","","6","","true","",""
"30.10.2025","LPBG","10:00","LPVL","12:35","C172","","","2:35","2:35","","0:10","2:25","","","","","","","2:35","","","1","","","true","",""
"30.10.2025","","16:00","","18:00","AL250-99","","","","","","","","","","","","","","","2:00","","","","","true","",""
"10.11.2025","","17:45","","19:30","AL250-99","","","","","","","","","","","","","","","1:45","","","","","true","",""
"20.11.2025","","16:05","","17:35","AL250-55","","","","","","","","","","","","","","","1:30","","","","","true","",""
"01.12.2025","","10:00","","12:30","AL250-55","","","","","","","","","","","","","","","2:30","","","","","true","",""
"08.12.2025","LPVL","14:30","LPVZ","15:25","C172","","","0:55","0:55","","0:10","0:45","","","","","","","0:55","","","1","","","true","",""
"08.12.2025","LPVZ","15:25","LPVL","16:45","C172","","","1:20","1:20","","0:10","1:10","","","1:20","","","","","","","1","","","true","",""
"29.12.2025","","14:45","","16:15","AL250-99","","","","","","","","","","","","","","","1:30","","","","","true","",""
"30.12.2025","LPVL","09:00","LPVL","11:00","C172","","","2:00","2:00","","0:10","1:50","","","2:00","","","","","","","1","","","true","",""
"02.01.2026","LEAS","11:50","LPVL","15:40","C172","","","3:50","3:50","","0:20","3:30","","","3:50","","","","","","","1","","","true","",""
"05.01.2026","","08:30","","10:20","AL250-99","","","","","","","","","","","","","","","1:50","","","","","true","",""
"05.01.2026","LPVL","14:15","LPVL","15:45","C152","","","1:30","1:30","","1:30","","","","","","","","1:30","","","2","","","true","",""
"06.01.2026","LPVL","14:20","LPVL","15:50","C152","","","1:30","1:30","","1:30","","","","","","","","1:30","","","2","","","true","",""
"09.01.2026","LEZL","14:15","LEGR","17:10","SR20","","","2:55","2:55","","0:15","2:40","","","2:55","","","","","","","1","","","true","",""
"10.01.2026","LEZL","11:45","LPVL","14:50","SR20","","","3:05","3:05","","0:10","2:55","","","3:05","","","","","","","1","","","true","",""
